Year,Month No,Month,BU,Doctor Name,Target Revenue,Target No. cases,Total Revenue,Credit Revenue,Cash Revenue,Total Leakage Revenue Losses,Doctor PMS %,No. Cases,No. Services,Charge per case,No. Booking,No. Planned booking Slots,No. follow-up visits,Service Leakage %,Cross Referral %,Patient Retention %,Patient Acquisition %,Actual COE Compliance %,Digital Actual CR%,Digital Target CR%,No. Missed Opportunity,No. Cancelled Clinics,Total Losses Revenue_Cancellation_Modification,No-Show %
2023,1,2023-01-01,SMH,Aly,171107.56,130,134618.9,47345.95,87272.95,8292.63,0.634,96,123,1402.28,125,154,20,0.0616,0.114,0.7436,0.2564,0.7719,0.3437,0.2977,10,1,9295.97,0.1056
2023,1,2023-01-01,SMH,Khaled,232261.11,177,209765.64,76497.36,133268.28,17937.75,0.6864,147,205,1426.98,176,198,52,0.0855,0.1197,0.7551,0.2449,0.7752,0.3325,0.2983,8,6,44442.21,0.1028
2023,1,2023-01-01,SMH,Mohamed,119177.54,101,106422.66,41242.61,65180.05,3240.61,0.8695,97,177,1097.14,111,126,37,0.0305,0.2721,0.5205,0.4795,0.69,0.2668,0.2239,7,0,2626.62,0.0789
2023,1,2023-01-01,SMH,Mahmoud,171693.01,128,99548.53,38871.58,60676.95,2414.22,0.7328,89,180,1118.52,126,154,20,0.0243,0.0507,0.577,0.423,0.6256,0.3061,0.289,20,5,38284.97,0.1779
2023,1,2023-01-01,SMH,Maged,114635.38,89,74133.36,26167.93,47965.43,3046.48,0.8325,74,157,1001.8,96,106,23,0.0411,0.086,0.6594,0.3406,0.5509,0.2317,0.2797,5,3,18586.05,0.1697
2023,1,2023-01-01,SMH,Amany,159740.4,122,97048.83,41444.02,55604.81,8907.78,0.688,83,135,1169.26,106,146,28,0.0918,0.1081,0.659,0.341,0.6782,0.2062,0.1749,14,2,10110.02,0.1521
2023,1,2023-01-01,SMH,Alaa,108921.3,84,61175.91,21874.96,39300.94,2796.86,0.5719,52,118,1176.46,69,100,11,0.0457,0.205,0.7414,0.2586,0.806,0.3319,0.3017,11,6,55205.75,0.1779
2023,1,2023-01-01,SMH,Ola,114325.46,93,75605.22,35891.8,39713.42,5702.15,0.6435,64,87,1181.33,89,110,24,0.0754,0.2541,0.5736,0.4264,0.8306,0.1901,0.2313,14,3,14981.36,0.1693
2023,1,2023-01-01,HJH,Ahmed,321559.54,202,218804.0,90700.87,128103.14,18913.89,0.6037,145,220,1508.99,187,251,31,0.0864,0.1319,0.475,0.525,0.4634,0.2035,0.2264,30,0,8756.93,0.1511
2023,1,2023-01-01,HJH,Omar,302850.74,180,217326.14,140839.14,76487.0,18098.02,0.878,148,335,1468.42,180,220,41,0.0833,0.2194,0.6166,0.3834,0.6697,0.1657,0.1953,18,0,6887.95,0.1404
2023,1,2023-01-01,HJH,Youssef,266059.35,160,206098.67,72281.58,133817.09,4475.6,0.7626,131,337,1573.27,161,189,50,0.0217,0.0836,0.5137,0.4863,0.5235,0.2099,0.2328,19,2,23881.87,0.1593
2023,1,2023-01-01,HJH,Aly,224475.03,130,226701.53,130581.59,96119.93,4130.65,0.7771,122,152,1858.21,145,165,29,0.0182,0.2414,0.6437,0.3563,0.4764,0.189,0.2358,14,3,28607.48,0.1111
2023,1,2023-01-01,HJH,Khaled,263246.98,153,153199.84,83855.03,69344.81,9354.95,0.8007,116,264,1320.69,149,181,31,0.0611,0.266,0.4914,0.5086,0.6638,0.2517,0.2929,19,2,22129.13,0.1753
2023,1,2023-01-01,HJH,Mohamed,220653.1,145,185937.65,116628.32,69309.32,9037.44,0.7318,112,216,1660.16,148,170,31,0.0486,0.1269,0.741,0.259,0.5937,0.153,0.1845,11,5,26723.58,0.1236
2023,1,2023-01-01,HJH,Mahmoud,355393.67,225,265758.98,151213.3,114545.68,13570.76,0.8392,186,375,1428.81,219,253,58,0.0511,0.2004,0.5411,0.4589,0.612,0.2055,0.212,14,2,15779.2,0.1104
2023,1,2023-01-01,HJH,Maged,285949.35,182,212908.75,109835.09,103073.66,11302.78,0.856,155,224,1373.6,192,216,44,0.0531,0.0441,0.5259,0.4741,0.5643,0.2086,0.1989,10,4,26480.93,0.1223
2023,1,2023-01-01,HJH,Amany,342761.86,204,228159.9,93996.44,134163.46,20778.57,0.8182,167,269,1366.23,203,250,37,0.0911,0.2173,0.5195,0.4805,0.6625,0.2869,0.2816,34,6,29139.81,0.0957
2023,1,2023-01-01,HJH,Alaa,212149.47,128,100941.13,55880.49,45060.63,7593.13,0.55,81,100,1246.19,108,144,14,0.0752,0.1082,0.5923,0.4077,0.5306,0.2716,0.3145,24,0,5628.51,0.142
2023,1,2023-01-01,HJH,Ola,185331.51,113,159642.12,99279.88,60362.23,7709.74,0.742,86,200,1856.3,114,140,28,0.0483,0.2262,0.5569,0.4431,0.8315,0.2107,0.2076,12,4,31595.34,0.1392
2023,2,2023-02-01,ASH,Ahmed,315252.42,217,169140.06,96552.67,72587.39,8064.84,0.6585,143,222,1182.8,180,257,41,0.0477,0.0478,0.5237,0.4763,0.4998,0.2327,0.2975,28,2,23480.47,0.1492
2023,2,2023-02-01,ASH,Omar,224997.72,157,169195.62,95145.68,74049.94,13266.68,0.8568,138,206,1226.06,172,198,52,0.0784,0.2611,0.5781,0.4219,0.5984,0.1943,0.2087,10,4,24085.81,0.0757
2023,2,2023-02-01,ASH,Youssef,180201.76,117,120043.06,51316.19,68726.87,1999.87,0.8186,94,114,1277.05,118,133,35,0.0167,0.1783,0.6947,0.3053,0.4429,0.2306,0.243,5,4,23247.61,0.1455
2023,2,2023-02-01,ASH,Aly,178883.01,115,107323.74,55181.27,52142.48,5048.1,0.7699,87,115,1233.61,108,137,16,0.047,0.0611,0.5109,0.4891,0.4114,0.3231,0.2836,19,0,5308.83,0.1031
2023,2,2023-02-01,ASH,Khaled,248986.46,172,170975.68,108222.15,62753.53,6504.31,0.738,121,228,1413.02,147,213,35,0.038,0.0469,0.6468,0.3532,0.7736,0.2434,0.2736,16,3,17183.24,0.1174
2023,2,2023-02-01,ASH,Mohamed,209939.26,132,181053.99,87281.1,93772.89,16913.99,0.7629,114,215,1588.19,128,163,35,0.0934,0.1321,0.7519,0.2481,0.6194,0.3424,0.3007,13,6,51868.46,0.0653
2023,2,2023-02-01,ASH,Mahmoud,346828.4,239,257434.73,82472.36,174962.37,14953.47,0.6509,171,274,1505.47,228,285,53,0.0581,0.1704,0.5839,0.4161,0.5205,0.2023,0.1902,30,1,16686.31,0.1567
2023,2,2023-02-01,ASH,Maged,216060.34,142,172542.12,65419.91,107122.2,3099.13,0.7431,111,191,1554.43,136,159,35,0.018,0.2487,0.7347,0.2653,0.5834,0.2333,0.2442,14,3,31923.39,0.1417
2023,2,2023-02-01,ASH,Amany,202621.7,127,129830.05,47896.57,81933.48,5894.38,0.5968,84,181,1545.6,114,144,29,0.0454,0.2223,0.7341,0.2659,0.369,0.1768,0.1709,21,1,13753.7,0.176
2023,2,2023-02-01,ASH,Alaa,148968.79,104,108408.87,69430.18,38978.69,4734.98,0.7348,82,116,1322.06,110,128,19,0.0437,0.1389,0.6654,0.3346,0.4454,0.1926,0.188,7,5,23348.2,0.1415
2023,2,2023-02-01,ASH,Ola,179239.25,117,141473.8,70236.99,71236.81,2958.07,0.7561,83,176,1704.5,105,144,34,0.0209,0.1118,0.7663,0.2337,0.7159,0.2065,0.2331,29,6,40965.37,0.1329
2023,2,2023-02-01,SMH,Ahmed,210091.68,159,184150.82,95645.01,88505.81,14228.4,0.9044,134,162,1374.26,156,204,53,0.0773,0.2188,0.7198,0.2802,0.8286,0.2425,0.2841,31,1,17188.02,0.0885
2023,2,2023-02-01,SMH,Omar,180571.15,138,118476.31,52477.76,65998.55,2093.38,0.7955,120,164,987.3,151,176,25,0.0177,0.2583,0.5376,0.4624,0.5702,0.2121,0.1921,17,2,17383.48,0.1498
2023,2,2023-02-01,SMH,Youssef,139127.67,104,99763.75,53695.24,46068.51,2619.85,0.7726,75,174,1330.18,97,132,28,0.0263,0.2138,0.7728,0.2272,0.8627,0.2641,0.2887,22,0,3317.63,0.1572
2023,2,2023-02-01,SMH,Aly,145165.11,123,146112.36,89748.9,56363.46,12527.5,0.801,102,239,1432.47,128,153,40,0.0857,0.0931,0.4428,0.5572,0.7866,0.2707,0.3055,11,1,4213.65,0.1374
2023,2,2023-02-01,SMH,Khaled,216614.65,171,134695.4,45352.53,89342.87,8349.39,0.7021,119,206,1131.89,140,199,46,0.062,0.1972,0.7201,0.2799,0.6763,0.2717,0.3102,35,1,18718.81,0.0805
2023,2,2023-02-01,SMH,Mohamed,169906.24,142,110287.22,57196.49,53090.73,9136.49,0.6475,98,251,1125.38,124,177,33,0.0828,0.194,0.635,0.365,0.3613,0.2458,0.2859,16,4,20810.11,0.1391
2023,2,2023-02-01,SMH,Mahmoud,221795.65,168,140933.3,49724.76,91208.54,3745.31,0.7064,139,228,1013.91,157,216,33,0.0266,0.0819,0.658,0.342,0.3637,0.1795,0.1624,21,2,8434.08,0.0781
2023,2,2023-02-01,SMH,Maged,118500.62,94,114477.4,55021.44,59455.96,10375.46,0.7517,85,157,1346.79,102,119,31,0.0906,0.2481,0.6077,0.3923,0.5928,0.2443,0.3142,8,3,16988.35,0.1184
2023,2,2023-02-01,SMH,Amany,225726.05,178,147543.39,82512.86,65030.53,6051.47,0.9211,152,310,970.68,186,208,46,0.041,0.1489,0.638,0.362,0.4026,0.3087,0.2723,12,6,40155.9,0.0596
2023,2,2023-02-01,SMH,Alaa,159679.53,124,112097.33,69345.84,42751.49,5038.11,0.6725,97,176,1155.64,118,150,38,0.0449,0.0561,0.7194,0.2806,0.3994,0.1899,0.1755,20,4,19378.32,0.0797
2023,2,2023-02-01,SMH,Ola,202142.34,151,147868.66,53754.63,94114.03,9320.58,0.67,111,235,1332.15,132,175,35,0.063,0.0911,0.6564,0.3436,0.4688,0.2004,0.1773,18,6,29246.67,0.0659
2023,2,2023-02-01,HJH,Ahmed,344895.58,203,260276.69,166924.87,93351.82,9472.98,0.6747,158,324,1647.32,201,228,55,0.0364,0.1142,0.5423,0.4577,0.3532,0.3006,0.2992,12,1,14084.59,0.1767
2023,2,2023-02-01,HJH,Omar,198702.3,121,144676.24,59588.29,85087.96,3153.44,0.6821,99,164,1461.38,119,139,21,0.0218,0.1883,0.6626,0.3374,0.4942,0.2575,0.2659,9,2,10674.0,0.078
2023,2,2023-02-01,HJH,Youssef,260550.46,158,212990.0,135251.27,77738.74,3325.83,0.7278,128,239,1663.98,149,191,29,0.0156,0.0729,0.512,0.488,0.5239,0.1751,0.1612,14,3,21196.38,0.0868
2023,2,2023-02-01,HJH,Aly,330979.11,194,173299.02,111572.56,61726.46,10581.77,0.6993,140,336,1237.85,191,218,49,0.0611,0.1402,0.4615,0.5385,0.3611,0.2354,0.212,15,6,45194.29,0.1548
2023,2,2023-02-01,HJH,Khaled,307116.25,193,261767.58,143346.39,118421.19,7447.45,0.8737,177,340,1478.91,208,236,36,0.0285,0.1624,0.7461,0.2539,0.5352,0.3091,0.2764,18,1,7137.64,0.0816
2023,2,2023-02-01,HJH,Mohamed,274474.61,163,213538.13,103980.55,109557.58,10871.74,0.8001,123,176,1736.08,155,188,38,0.0509,0.1925,0.6448,0.3552,0.8081,0.213,0.2604,9,3,24421.45,0.1488
2023,2,2023-02-01,HJH,Mahmoud,370319.67,217,188417.65,70758.39,117659.27,15718.45,0.6819,151,275,1247.8,191,276,45,0.0834,0.1511,0.6196,0.3804,0.7697,0.2889,0.3033,55,5,35318.74,0.116
2023,2,2023-02-01,HJH,Maged,261482.81,168,168857.27,69953.49,98903.78,5879.53,0.6503,117,287,1443.22,143,200,33,0.0348,0.1655,0.4771,0.5229,0.5476,0.1917,0.2053,23,4,19671.31,0.058
2023,2,2023-02-01,HJH,Amany,298987.8,175,204310.36,88534.6,115775.77,8513.4,0.6662,120,190,1702.59,137,198,25,0.0417,0.124,0.7684,0.2316,0.7202,0.2267,0.2227,43,2,30842.83,0.0623
2023,2,2023-02-01,HJH,Alaa,236799.24,147,207880.13,99011.27,108868.86,9135.55,0.7712,124,276,1676.45,150,172,27,0.0439,0.0914,0.7612,0.2388,0.6077,0.1593,0.1962,6,6,47920.19,0.1371
2023,2,2023-02-01,HJH,Ola,275094.75,177,235500.56,142890.87,92609.7,19195.09,0.7841,136,225,1731.62,189,215,50,0.0815,0.0797,0.5776,0.4224,0.5678,0.2298,0.2682,12,2,20840.92,0.1649
2023,3,2023-03-01,ASH,Ahmed,267438.81,165,214630.5,113456.36,101174.14,11146.71,0.6984,129,238,1663.8,149,185,35,0.0519,0.1666,0.7679,0.2321,0.783,0.2341,0.2882,13,5,32017.41,0.0902
2023,3,2023-03-01,ASH,Omar,176456.98,111,107295.3,53832.7,53462.6,2396.66,0.8282,87,113,1233.28,113,133,32,0.0223,0.2523,0.755,0.245,0.5699,0.2052,0.2234,8,0,864.39,0.1171
2023,3,2023-03-01,ASH,Youssef,181146.86,125,136659.02,51408.21,85250.81,9763.32,0.7793,104,143,1314.03,127,145,18,0.0714,0.059,0.5121,0.4879,0.7925,0.267,0.2478,9,0,1704.91,0.1345
2023,3,2023-03-01,ASH,Aly,176617.71,124,102146.82,35884.34,66262.49,5743.72,0.6052,85,155,1201.73,100,146,18,0.0562,0.143,0.6413,0.3587,0.4775,0.2377,0.2267,13,2,9348.58,0.1046
2023,3,2023-03-01,ASH,Khaled,305104.82,194,180768.89,94420.87,86348.03,7875.65,0.6735,156,377,1158.77,205,236,37,0.0436,0.1977,0.4573,0.5427,0.6584,0.2277,0.2811,13,2,17492.88,0.116
2023,3,2023-03-01,ASH,Mohamed,349984.39,245,212981.29,88111.45,124869.84,6629.53,0.7326,175,251,1217.04,232,275,68,0.0311,0.1157,0.5316,0.4684,0.5611,0.2797,0.2905,11,5,21072.17,0.1775
2023,3,2023-03-01,ASH,Mahmoud,394100.3,244,219924.9,113919.52,106005.38,9263.88,0.5553,156,361,1409.77,203,294,53,0.0421,0.1282,0.707,0.293,0.4914,0.163,0.1732,42,6,31471.05,0.1352
2023,3,2023-03-01,ASH,Maged,160114.99,112,102408.93,43255.24,59153.69,8664.1,0.5942,73,148,1402.86,95,137,30,0.0846,0.1059,0.7728,0.2272,0.8524,0.1784,0.172,18,6,47356.92,0.1359
2023,3,2023-03-01,ASH,Amany,175350.17,117,97433.28,38300.04,59133.24,5882.98,0.6933,83,102,1173.89,101,142,28,0.0604,0.2677,0.5539,0.4461,0.7544,0.2489,0.2518,18,5,28727.72,0.129
2023,3,2023-03-01,ASH,Alaa,167196.0,103,110331.15,62238.28,48092.87,4175.61,0.8733,85,168,1298.01,106,124,25,0.0378,0.0694,0.727,0.273,0.5896,0.2887,0.3038,5,5,46193.74,0.1149
2023,3,2023-03-01,ASH,Ola,303888.81,196,244428.67,101463.07,142965.6,19186.6,0.7093,146,357,1674.17,168,221,30,0.0785,0.0882,0.47,0.53,0.7689,0.1641,0.1642,23,6,57767.12,0.0584
2023,3,2023-03-01,SMH,Ahmed,144843.64,121,96843.59,49863.5,46980.09,3908.82,0.5826,84,156,1152.9,99,143,24,0.0404,0.1642,0.4662,0.5338,0.7894,0.2518,0.2482,27,1,15456.49,0.1018
2023,3,2023-03-01,SMH,Omar,126317.48,100,110074.7,63358.43,46716.28,4152.44,0.6472,77,108,1429.54,98,112,17,0.0377,0.2695,0.5188,0.4812,0.6813,0.2046,0.2583,7,4,35698.93,0.1174
2023,3,2023-03-01,SMH,Youssef,208315.52,156,116845.57,42643.05,74202.52,8959.93,0.6951,122,304,957.75,164,198,28,0.0767,0.1773,0.6425,0.3575,0.3661,0.3009,0.3022,19,2,16687.71,0.1673
2023,3,2023-03-01,SMH,Aly,193221.95,161,147897.38,73465.67,74431.71,12411.37,0.7179,128,179,1155.45,153,197,53,0.0839,0.1229,0.5635,0.4365,0.7532,0.1934,0.2424,16,0,2716.47,0.109
2023,3,2023-03-01,SMH,Khaled,171940.26,129,116988.15,41207.6,75780.54,8503.9,0.55,81,143,1444.3,102,148,17,0.0727,0.279,0.5881,0.4119,0.8159,0.1894,0.2396,20,3,30339.22,0.1729
2023,3,2023-03-01,SMH,Mohamed,169556.45,142,136855.63,76051.09,60804.54,3519.21,0.6634,106,251,1291.09,125,182,28,0.0257,0.1368,0.4363,0.5637,0.3771,0.2282,0.2499,22,3,25467.58,0.0866
2023,3,2023-03-01,SMH,Mahmoud,208233.38,164,127329.17,67082.68,60246.49,5634.13,0.6745,129,175,987.05,160,183,41,0.0442,0.1363,0.4345,0.5655,0.3706,0.3048,0.2742,11,1,8820.52,0.131
2023,3,2023-03-01,SMH,Maged,153919.1,122,147755.64,67091.53,80664.11,8006.54,0.8475,107,219,1380.89,131,146,31,0.0542,0.044,0.5392,0.4608,0.4081,0.2014,0.2266,10,6,43037.77,0.0914
2023,3,2023-03-01,SMH,Amany,193402.87,153,120400.28,76219.73,44180.55,8752.45,0.761,114,228,1056.14,136,183,30,0.0727,0.2372,0.5072,0.4928,0.6535,0.2274,0.2721,22,3,16643.57,0.1352
2023,3,2023-03-01,SMH,Alaa,162589.31,128,126726.56,52856.91,73869.65,12019.99,0.7083,96,228,1320.07,121,152,25,0.0948,0.2696,0.5855,0.4145,0.6326,0.2608,0.2474,21,5,40814.56,0.1295
2023,3,2023-03-01,SMH,Ola,212285.43,164,156208.38,50901.14,105307.24,10968.83,0.6295,109,174,1433.1,149,188,32,0.0702,0.1745,0.7564,0.2436,0.7325,0.2077,0.206,20,3,33138.82,0.1745
2023,3,2023-03-01,HJH,Ahmed,243804.41,156,181284.06,102493.2,78790.86,10530.11,0.8174,120,200,1510.7,140,187,41,0.0581,0.0729,0.6416,0.3584,0.661,0.209,0.1988,24,5,23948.6,0.0874
2023,3,2023-03-01,HJH,Omar,253119.59,147,212301.62,72903.76,139397.86,18103.38,0.8606,134,159,1584.34,151,178,30,0.0853,0.2713,0.5356,0.4644,0.6923,0.2412,0.3053,14,4,36072.79,0.0631
2023,3,2023-03-01,HJH,Youssef,200059.29,123,218506.72,70126.08,148380.64,19650.03,1.0354,119,170,1836.19,133,149,47,0.0899,0.2504,0.4233,0.5767,0.651,0.2112,0.1772,6,5,32507.84,0.0728
2023,3,2023-03-01,HJH,Aly,204282.08,131,147819.96,73696.86,74123.1,10928.25,0.8768,112,150,1319.82,143,162,35,0.0739,0.2217,0.4832,0.5168,0.8038,0.3406,0.3035,9,0,1256.19,0.1108
2023,3,2023-03-01,HJH,Khaled,258326.86,157,163476.75,91856.26,71620.49,9944.32,0.6109,108,186,1513.67,152,192,28,0.0608,0.0967,0.6604,0.3396,0.5967,0.1965,0.1856,28,5,48809.71,0.1717
2023,3,2023-03-01,HJH,Mohamed,396106.88,240,274319.81,164440.67,109879.14,13240.77,0.8465,211,314,1300.09,248,276,61,0.0483,0.169,0.6591,0.3409,0.4658,0.2175,0.1996,19,0,5498.78,0.0884
2023,3,2023-03-01,HJH,Mahmoud,306908.89,193,198879.0,91684.9,107194.1,11261.99,0.5639,128,250,1553.74,169,243,29,0.0566,0.18,0.4527,0.5473,0.6205,0.2761,0.2894,37,3,31768.93,0.1233
2023,3,2023-03-01,HJH,Maged,290064.82,182,267951.63,123031.94,144919.69,5386.04,0.9244,156,364,1717.64,202,232,63,0.0201,0.0566,0.7562,0.2438,0.3668,0.2471,0.2254,18,5,39473.59,0.144
2023,3,2023-03-01,HJH,Amany,288260.29,169,233318.31,84320.6,148997.71,5714.12,0.7974,125,161,1866.55,167,213,34,0.0245,0.0706,0.7723,0.2277,0.7925,0.3345,0.281,22,5,39377.3,0.1692
2023,3,2023-03-01,HJH,Alaa,230226.46,143,165236.23,101250.36,63985.87,12604.93,0.7121,97,243,1703.47,121,164,17,0.0763,0.0895,0.4563,0.5437,0.3678,0.2726,0.2556,11,5,17657.59,0.095
2023,3,2023-03-01,HJH,Ola,306523.01,193,165940.77,63188.67,102752.09,10426.62,0.6083,118,223,1406.28,163,223,30,0.0628,0.1124,0.4716,0.5284,0.6999,0.1729,0.1954,16,4,40210.54,0.1623
2023,4,2023-04-01,ASH,Ahmed,331218.33,212,248171.14,130096.02,118075.12,11828.02,0.6819,161,268,1541.44,212,252,36,0.0477,0.1691,0.5067,0.4933,0.4694,0.2422,0.2972,19,0,9995.81,0.1223
2023,4,2023-04-01,ASH,Omar,243227.71,159,146499.42,73479.77,73019.66,11918.09,0.6499,124,204,1181.45,156,194,33,0.0814,0.1852,0.4342,0.5658,0.3886,0.2929,0.2887,22,1,13797.2,0.1005
2023,4,2023-04-01,ASH,Youssef,252241.16,157,160406.12,64728.66,95677.46,11332.71,0.6388,100,144,1604.06,136,181,27,0.0707,0.0974,0.5358,0.4642,0.5,0.2444,0.2346,18,2,17853.11,0.1682
2023,4,2023-04-01,ASH,Aly,180394.24,113,127320.13,69610.46,57709.66,9459.91,0.7367,101,165,1260.6,125,144,31,0.0743,0.1802,0.6792,0.3208,0.5065,0.1634,0.1914,10,1,8981.96,0.1439
2023,4,2023-04-01,ASH,Khaled,346258.09,232,253252.04,126100.89,127151.16,6634.36,0.6552,158,348,1602.86,203,268,35,0.0262,0.2534,0.7765,0.2235,0.8573,0.2749,0.2438,18,6,49322.65,0.1492
2023,4,2023-04-01,ASH,Mohamed,266678.93,172,148653.55,74254.95,74398.6,13336.05,0.7192,117,163,1270.54,156,219,39,0.0897,0.0438,0.6116,0.3884,0.568,0.1749,0.1627,32,2,17401.87,0.132
2023,4,2023-04-01,ASH,Mahmoud,351865.57,239,233023.7,132935.43,100088.27,10102.81,0.683,159,394,1465.56,219,280,31,0.0434,0.2702,0.5852,0.4148,0.4789,0.2403,0.2716,40,0,18273.7,0.1722
2023,4,2023-04-01,ASH,Maged,283483.15,178,192155.66,80332.81,111822.85,12796.14,0.6363,125,231,1537.25,155,226,51,0.0666,0.2737,0.7421,0.2579,0.8372,0.2274,0.1968,42,4,28339.84,0.1027
2023,4,2023-04-01,ASH,Amany,172640.27,118,133260.81,49221.07,84039.75,3536.12,0.937,107,226,1245.43,127,151,40,0.0265,0.2629,0.5277,0.4723,0.6489,0.2838,0.2507,14,4,23577.05,0.0864
2023,4,2023-04-01,ASH,Alaa,160880.35,112,120297.59,74315.49,45982.11,7628.49,0.7784,89,199,1351.66,120,139,28,0.0634,0.2725,0.5375,0.4625,0.6861,0.2719,0.2854,6,4,36064.12,0.1396
2023,4,2023-04-01,ASH,Ola,274159.62,183,203541.12,127364.39,76176.73,15817.43,0.7426,158,252,1288.23,185,226,43,0.0777,0.1266,0.4529,0.5471,0.8498,0.2526,0.2312,12,0,3110.13,0.0994
2023,4,2023-04-01,SMH,Ahmed,219121.62,186,171411.13,67044.93,104366.2,8245.7,0.7532,137,269,1251.18,169,211,48,0.0481,0.1743,0.7774,0.2226,0.4787,0.2576,0.2434,14,2,12648.23,0.0634
2023,4,2023-04-01,SMH,Omar,123410.89,98,75487.15,25545.35,49941.8,4856.35,0.642,67,153,1126.67,82,114,14,0.0643,0.0416,0.5624,0.4376,0.7961,0.2512,0.2208,15,3,28675.74,0.0859
2023,4,2023-04-01,SMH,Youssef,210693.69,172,132226.65,43858.31,88368.34,9334.75,0.6612,120,175,1101.89,136,192,38,0.0706,0.0982,0.5554,0.4446,0.7827,0.1786,0.2229,29,4,40037.64,0.0917
2023,4,2023-04-01,SMH,Aly,237759.1,181,149440.54,82769.24,66671.3,11753.88,0.6551,128,279,1167.5,170,210,38,0.0787,0.192,0.5071,0.4929,0.6991,0.3033,0.2744,11,4,24877.29,0.1739
2023,4,2023-04-01,SMH,Khaled,234740.16,184,206968.19,86608.05,120360.14,18244.68,0.6594,143,176,1447.33,189,210,34,0.0882,0.1995,0.4799,0.5201,0.6747,0.2602,0.2501,12,6,33055.51,0.1631
2023,4,2023-04-01,SMH,Mohamed,153972.11,124,105613.66,48600.48,57013.18,8109.8,0.667,85,162,1242.51,101,149,25,0.0768,0.1228,0.4288,0.5712,0.4054,0.268,0.2266,14,5,19960.91,0.0836
